;models_name_list;target_axis;indicator_axis;baseline_indicator;is_VLM
0;openCLIP('RN50-quickgelu', 'yfcc15m');0.1709;6.81976;0.27822;True
1;openCLIP('RN50', 'yfcc15m');0.1815;6.78483;0.28102;True
2;openCLIP('RN101-quickgelu', 'yfcc15m');0.2144;6.8226;0.30444;True
3;AlexNet10;0.21837;7.01017;0.56556;False
4;openCLIP('RN101', 'yfcc15m');0.22037;6.7758;0.30636;True
5;SqueezeNet22;0.22653;7.00052;0.58096;False
6;SqueezeNet23;0.22833;7.02883;0.58188;False
7;VGG15;0.2632;6.61116;0.6994;False
8;VGG14;0.26607;6.64796;0.6904;False
9;MNASNet18;0.2732;6.78458;0.6775;False
10;VGG16;0.27977;6.58;0.71586;False
11;VGG24;0.28403;6.59268;0.7038;False
12;VGG17;0.28693;6.576;0.72394;False
13;VGG25;0.2896;6.55068;0.71554;False
14;MobileNetV330;0.29407;6.75915;0.67668;False
15;VGG26;0.3038;6.53152;0.7337;False
16;MNASNet19;0.31037;6.59727;0.70882;False
17;MNASNet20;0.3231;6.53843;0.73468;False
18;ResNet12;0.33033;6.64253;0.6976;False
19;VGG10;0.3331;6.4957;0.74242;False
20;MobileNetV331;0.34483;6.48785;0.75314;False
21;ResNet13;0.36063;6.53892;0.73302;False
22;GoogLeNet21;0.36193;6.61453;0.69772;False
23;MNASNet3;0.3674;6.44031;0.76076;False
24;EfficientNet1;0.37047;6.37939;0.77672;False
25;ShuffleNetV29;0.37197;6.54942;0.76194;False
26;DenseNet27;0.372;6.5373;0.74438;False
27;Inception36;0.379;6.66348;0.69522;False
28;openCLIP('RN50-quickgelu', 'cc12m');0.39403;6.68972;0.33734;True
29;DenseNet29;0.39667;6.45699;0.75588;False
30;openCLIP('RN50', 'cc12m');0.39757;6.64992;0.33124;True
31;DenseNet28;0.4013;6.42938;0.77112;False
32;DenseNet2;0.4083;6.42575;0.76886;False
33;ResNet0;0.41657;6.31044;0.80346;False
34;VisionTransformer7;0.41833;6.49365;0.75912;False
35;RegNet4;0.43583;6.2541;0.80734;False
36;VisionTransformer8;0.43753;6.47105;0.7696;False
37;ConvNeXt12;0.44087;6.29169;0.82134;False
38;ResNet5;0.44473;6.24573;0.81672;False
39;SwinTransformer5;0.45637;6.20468;0.83172;False
40;ResNet6;0.4597;6.21365;0.82346;False
41;ResNet11;0.4658;6.22039;0.82348;False
42;albeffeatureextractor;0.54723;6.49295;0.3383;True
43;openCLIP('RN50', 'openai');0.56167;6.32595;0.57956;True
44;openCLIP('RN50-quickgelu', 'openai');0.56167;6.32595;0.57956;True
45;RN50;0.56243;6.32669;0.5788;True
46;RN101;0.64063;6.28417;0.6065;True
47;openCLIP('RN101', 'openai');0.64153;6.28248;0.60692;True
48;openCLIP('RN101-quickgelu', 'openai');0.64153;6.28248;0.60692;True
49;vitb32;0.6672;6.15259;0.61826;True
50;openCLIP('ViT-B-32', 'openai');0.668;6.15033;0.6189;True
51;openCLIP('RN50x4', 'openai');0.68063;6.17208;0.64098;True
52;RN50x4;0.6811;6.1656;0.64082;True
53;openCLIP('ViT-B-32', 'laion400me31');0.6859;6.34584;0.59948;True
54;openCLIP('ViT-B-32', 'laion400me32');0.68687;6.3495;0.5983;True
55;openCLIP('cocaViT-B-32', 'laion2bs13bb90k');0.7113;6.23847;0.63328;True
56;openCLIP('ViT-B-32-quickgelu', 'laion400me32');0.71337;6.27872;0.62446;True
57;openCLIP('ViT-B-32-quickgelu', 'laion400me31');0.71357;6.27692;0.62446;True
58;openCLIP('ViT-B-32', 'laion2be16');0.7353;6.22267;0.6544;True
59;vitb16;0.73763;6.0016;0.6661;True
60;openCLIP('ViT-B-32', 'laion2bs34bb79k');0.74393;6.1789;0.66264;True
61;blipfeatureextractor;0.7446;6.54897;0.41134;True
62;openCLIP('RN50x16', 'openai');0.74703;6.07972;0.67728;True
63;openCLIP('ViT-B-16', 'laion400me31');0.7637;6.15317;0.66558;True
64;openCLIP('ViT-B-16', 'laion400me32');0.76373;6.15003;0.66626;True
65;openCLIP('ViT-B-16-plus-240', 'laion400me31');0.78767;6.11289;0.68536;True
66;openCLIP('ViT-B-16-plus-240', 'laion400me32');0.78933;6.11562;0.68602;True
67;openCLIP('ViT-B-16', 'laion2bs34bb88k');0.791;6.07565;0.69312;True
68;openCLIP('RN50x64', 'openai');0.79903;6.07782;0.7076;True
69;openCLIP('ViT-L-14', 'laion400me31');0.83593;6.03718;0.722;True
70;openCLIP('ViT-L-14', 'laion400me32');0.83637;6.03602;0.72254;True
71;vitl14;0.8523;5.96137;0.72868;True
72;openCLIP('ViT-L-14', 'laion2bs32bb82k');0.86473;5.93854;0.74526;True
73;vitl14336;0.86697;5.92473;0.74222;True
74;openCLIP('cocaViT-L-14', 'laion2bs13bb90k');0.87023;5.89176;0.75234;True
