;models_name_list;target_axis;indicator_axis;baseline_indicator;is_VLM
0;SqueezeNet22;0.0824;7.00052;0.58096;False
1;SqueezeNet23;0.08693;7.02883;0.58188;False
2;AlexNet10;0.0944;7.01017;0.56556;False
3;ResNet12;0.12507;6.64253;0.6976;False
4;VGG14;0.12507;6.64796;0.6904;False
5;GoogLeNet21;0.13147;6.61453;0.69772;False
6;MNASNet18;0.13253;6.78458;0.6775;False
7;VGG15;0.14253;6.61116;0.6994;False
8;MobileNetV330;0.1448;6.75915;0.67668;False
9;VGG24;0.1452;6.59268;0.7038;False
10;ResNet13;0.16253;6.53892;0.73302;False
11;VGG25;0.1632;6.55068;0.71554;False
12;VGG16;0.1644;6.58;0.71586;False
13;VGG17;0.16707;6.576;0.72394;False
14;DenseNet27;0.17627;6.5373;0.74438;False
15;MNASNet20;0.1812;6.53843;0.73468;False
16;VGG26;0.18987;6.53152;0.7337;False
17;VGG10;0.1928;6.4957;0.74242;False
18;Inception36;0.19333;6.66348;0.69522;False
19;DenseNet29;0.19947;6.45699;0.75588;False
20;MNASNet19;0.2096;6.59727;0.70882;False
21;DenseNet2;0.21627;6.42575;0.76886;False
22;openCLIP('RN50-quickgelu', 'cc12m');0.2244;6.68972;0.33734;True
23;openCLIP('RN50', 'cc12m');0.2272;6.64992;0.33124;True
24;DenseNet28;0.23707;6.42938;0.77112;False
25;ShuffleNetV29;0.26013;6.54942;0.76194;False
26;MobileNetV331;0.2644;6.48785;0.75314;False
27;EfficientNet1;0.29067;6.37939;0.77672;False
28;VisionTransformer7;0.30493;6.49365;0.75912;False
29;openCLIP('RN50', 'yfcc15m');0.3104;6.78483;0.28102;True
30;MNASNet3;0.3148;6.44031;0.76076;False
31;openCLIP('RN50-quickgelu', 'yfcc15m');0.31747;6.81976;0.27822;True
32;VisionTransformer8;0.35093;6.47105;0.7696;False
33;openCLIP('RN101', 'yfcc15m');0.35293;6.7758;0.30636;True
34;openCLIP('RN101-quickgelu', 'yfcc15m');0.35293;6.8226;0.30444;True
35;albeffeatureextractor;0.374;6.49295;0.3383;True
36;openCLIP('ViT-B-32', 'laion400me31');0.43867;6.34584;0.59948;True
37;blipfeatureextractor;0.43907;6.54897;0.41134;True
38;openCLIP('ViT-B-32', 'laion400me32');0.4412;6.3495;0.5983;True
39;ResNet0;0.44773;6.31044;0.80346;False
40;openCLIP('cocaViT-B-32', 'laion2bs13bb90k');0.46507;6.23847;0.63328;True
41;ResNet5;0.47653;6.24573;0.81672;False
42;openCLIP('ViT-B-32-quickgelu', 'laion400me31');0.48267;6.27692;0.62446;True
43;RegNet4;0.4828;6.2541;0.80734;False
44;openCLIP('ViT-B-32-quickgelu', 'laion400me32');0.48427;6.27872;0.62446;True
45;RN50;0.48493;6.32669;0.5788;True
46;openCLIP('RN50', 'openai');0.48653;6.32595;0.57956;True
47;openCLIP('RN50-quickgelu', 'openai');0.48653;6.32595;0.57956;True
48;ResNet6;0.5128;6.21365;0.82346;False
49;openCLIP('ViT-B-32', 'laion2be16');0.52733;6.22267;0.6544;True
50;openCLIP('ViT-B-32', 'laion2bs34bb79k');0.52907;6.1789;0.66264;True
51;ResNet11;0.5336;6.22039;0.82348;False
52;RN101;0.55693;6.28417;0.6065;True
53;openCLIP('RN101', 'openai');0.5576;6.28248;0.60692;True
54;openCLIP('RN101-quickgelu', 'openai');0.5576;6.28248;0.60692;True
55;ConvNeXt12;0.55867;6.29169;0.82134;False
56;vitb32;0.5728;6.15259;0.61826;True
57;openCLIP('ViT-B-32', 'openai');0.57427;6.15033;0.6189;True
58;openCLIP('ViT-B-16', 'laion400me32');0.6048;6.15003;0.66626;True
59;openCLIP('ViT-B-16', 'laion400me31');0.606;6.15317;0.66558;True
60;SwinTransformer5;0.62933;6.20468;0.83172;False
61;openCLIP('ViT-B-16-plus-240', 'laion400me31');0.64493;6.11289;0.68536;True
62;openCLIP('ViT-B-16-plus-240', 'laion400me32');0.65187;6.11562;0.68602;True
63;openCLIP('ViT-B-16', 'laion2bs34bb88k');0.65333;6.07565;0.69312;True
64;RN50x4;0.66427;6.1656;0.64082;True
65;openCLIP('RN50x4', 'openai');0.6644;6.17208;0.64098;True
66;openCLIP('ViT-L-14', 'laion400me31');0.72107;6.03718;0.722;True
67;openCLIP('ViT-L-14', 'laion400me32');0.7224;6.03602;0.72254;True
68;vitb16;0.74507;6.0016;0.6661;True
69;openCLIP('cocaViT-L-14', 'laion2bs13bb90k');0.77173;5.89176;0.75234;True
70;openCLIP('RN50x16', 'openai');0.77667;6.07972;0.67728;True
71;openCLIP('ViT-L-14', 'laion2bs32bb82k');0.78147;5.93854;0.74526;True
72;openCLIP('RN50x64', 'openai');0.8516;6.07782;0.7076;True
73;vitl14;0.8692;5.96137;0.72868;True
74;vitl14336;0.9084;5.92473;0.74222;True
