;models_name_list;target_axis;indicator_axis;baseline_indicator;is_VLM
0;AlexNet10;0.29563;7.01017;0.56556;False
1;openCLIP('RN50-quickgelu', 'yfcc15m');0.31366;6.81976;0.27822;True
2;openCLIP('RN50', 'yfcc15m');0.3191;6.78483;0.28102;True
3;albeffeatureextractor;0.32185;6.49295;0.3383;True
4;SqueezeNet22;0.33256;7.00052;0.58096;False
5;openCLIP('RN101-quickgelu', 'yfcc15m');0.33768;6.8226;0.30444;True
6;SqueezeNet23;0.33821;7.02883;0.58188;False
7;openCLIP('RN101', 'yfcc15m');0.35345;6.7758;0.30636;True
8;openCLIP('RN50', 'cc12m');0.4179;6.64992;0.33124;True
9;openCLIP('RN50-quickgelu', 'cc12m');0.41962;6.68972;0.33734;True
10;VGG14;0.43302;6.64796;0.6904;False
11;MobileNetV330;0.43426;6.75915;0.67668;False
12;MNASNet18;0.4348;6.78458;0.6775;False
13;VGG15;0.43975;6.61116;0.6994;False
14;blipfeatureextractor;0.45058;6.54897;0.41134;True
15;ResNet12;0.46684;6.64253;0.6976;False
16;VGG24;0.46786;6.59268;0.7038;False
17;VGG16;0.4783;6.58;0.71586;False
18;VGG25;0.48509;6.55068;0.71554;False
19;VGG17;0.48789;6.576;0.72394;False
20;GoogLeNet21;0.49515;6.61453;0.69772;False
21;VisionTransformer7;0.50409;6.49365;0.75912;False
22;VisionTransformer8;0.5112;6.47105;0.7696;False
23;ResNet13;0.51147;6.53892;0.73302;False
24;VGG26;0.52471;6.53152;0.7337;False
25;MNASNet20;0.52563;6.53843;0.73468;False
26;VGG10;0.5301;6.4957;0.74242;False
27;MNASNet19;0.53559;6.59727;0.70882;False
28;DenseNet27;0.53769;6.5373;0.74438;False
29;Inception36;0.53984;6.66348;0.69522;False
30;DenseNet29;0.55879;6.45699;0.75588;False
31;MobileNetV331;0.55928;6.48785;0.75314;False
32;ShuffleNetV29;0.56601;6.54942;0.76194;False
33;DenseNet2;0.56703;6.42575;0.76886;False
34;DenseNet28;0.57408;6.42938;0.77112;False
35;EfficientNet1;0.57731;6.37939;0.77672;False
36;MNASNet3;0.59309;6.44031;0.76076;False
37;openCLIP('ViT-B-32', 'laion400me31');0.64036;6.34584;0.59948;True
38;openCLIP('RN50', 'openai');0.641;6.32595;0.57956;True
39;openCLIP('RN50-quickgelu', 'openai');0.641;6.32595;0.57956;True
40;RN50;0.64106;6.32669;0.5788;True
41;openCLIP('ViT-B-32', 'laion400me32');0.64192;6.3495;0.5983;True
42;ResNet0;0.65602;6.31044;0.80346;False
43;openCLIP('ViT-B-32-quickgelu', 'laion400me31');0.65969;6.27692;0.62446;True
44;openCLIP('ViT-B-32-quickgelu', 'laion400me32');0.66071;6.27872;0.62446;True
45;openCLIP('cocaViT-B-32', 'laion2bs13bb90k');0.6683;6.23847;0.63328;True
46;ConvNeXt12;0.66991;6.29169;0.82134;False
47;ResNet5;0.67008;6.24573;0.81672;False
48;RegNet4;0.67008;6.2541;0.80734;False
49;openCLIP('ViT-B-32', 'openai');0.67751;6.15033;0.6189;True
50;vitb32;0.67761;6.15259;0.61826;True
51;RN101;0.67944;6.28417;0.6065;True
52;openCLIP('RN101', 'openai');0.6795;6.28248;0.60692;True
53;openCLIP('RN101-quickgelu', 'openai');0.6795;6.28248;0.60692;True
54;ResNet6;0.68655;6.21365;0.82346;False
55;SwinTransformer5;0.6894;6.20468;0.83172;False
56;ResNet11;0.6914;6.22039;0.82348;False
57;openCLIP('ViT-B-32', 'laion2be16');0.70152;6.22267;0.6544;True
58;openCLIP('ViT-B-32', 'laion2bs34bb79k');0.70976;6.1789;0.66264;True
59;openCLIP('ViT-B-16', 'laion400me31');0.71993;6.15317;0.66558;True
60;openCLIP('ViT-B-16', 'laion400me32');0.72122;6.15003;0.66626;True
61;RN50x4;0.72855;6.1656;0.64082;True
62;openCLIP('RN50x4', 'openai');0.7286;6.17208;0.64098;True
63;openCLIP('ViT-B-16-plus-240', 'laion400me31');0.73942;6.11289;0.68536;True
64;openCLIP('ViT-B-16-plus-240', 'laion400me32');0.73947;6.11562;0.68602;True
65;openCLIP('ViT-B-16', 'laion2bs34bb88k');0.76499;6.07565;0.69312;True
66;vitb16;0.76887;6.0016;0.6661;True
67;openCLIP('ViT-L-14', 'laion400me31');0.78141;6.03718;0.722;True
68;openCLIP('ViT-L-14', 'laion400me32');0.78244;6.03602;0.72254;True
69;openCLIP('RN50x16', 'openai');0.80397;6.07972;0.67728;True
70;openCLIP('cocaViT-L-14', 'laion2bs13bb90k');0.81894;5.89176;0.75234;True
71;openCLIP('ViT-L-14', 'laion2bs32bb82k');0.82734;5.93854;0.74526;True
72;openCLIP('RN50x64', 'openai');0.83961;6.07782;0.7076;True
73;vitl14;0.85738;5.96137;0.72868;True
74;vitl14336;0.88365;5.92473;0.74222;True
