;models_name_list;target_axis;indicator_axis;baseline_indicator;is_VLM
0;openCLIP('RN50-quickgelu', 'yfcc15m');0.27822;6.81976;0.27822;True
1;openCLIP('RN50', 'yfcc15m');0.28102;6.78483;0.28102;True
2;openCLIP('RN101-quickgelu', 'yfcc15m');0.30444;6.8226;0.30444;True
3;openCLIP('RN101', 'yfcc15m');0.30636;6.7758;0.30636;True
4;openCLIP('RN50', 'cc12m');0.33124;6.64992;0.33124;True
5;openCLIP('RN50-quickgelu', 'cc12m');0.33734;6.68972;0.33734;True
6;albeffeatureextractor;0.3383;6.49295;0.3383;True
7;blipfeatureextractor;0.41134;6.54897;0.41134;True
8;AlexNet10;0.56556;7.01017;0.56556;False
9;RN50;0.5788;6.32669;0.5788;True
10;openCLIP('RN50', 'openai');0.57956;6.32595;0.57956;True
11;openCLIP('RN50-quickgelu', 'openai');0.57956;6.32595;0.57956;True
12;SqueezeNet22;0.58096;7.00052;0.58096;False
13;SqueezeNet23;0.58188;7.02883;0.58188;False
14;openCLIP('ViT-B-32', 'laion400me32');0.5983;6.3495;0.5983;True
15;openCLIP('ViT-B-32', 'laion400me31');0.59948;6.34584;0.59948;True
16;RN101;0.6065;6.28417;0.6065;True
17;openCLIP('RN101', 'openai');0.60692;6.28248;0.60692;True
18;openCLIP('RN101-quickgelu', 'openai');0.60692;6.28248;0.60692;True
19;vitb32;0.61826;6.15259;0.61826;True
20;openCLIP('ViT-B-32', 'openai');0.6189;6.15033;0.6189;True
21;openCLIP('ViT-B-32-quickgelu', 'laion400me31');0.62446;6.27692;0.62446;True
22;openCLIP('ViT-B-32-quickgelu', 'laion400me32');0.62446;6.27872;0.62446;True
23;openCLIP('cocaViT-B-32', 'laion2bs13bb90k');0.63328;6.23847;0.63328;True
24;RN50x4;0.64082;6.1656;0.64082;True
25;openCLIP('RN50x4', 'openai');0.64098;6.17208;0.64098;True
26;openCLIP('ViT-B-32', 'laion2be16');0.6544;6.22267;0.6544;True
27;openCLIP('ViT-B-32', 'laion2bs34bb79k');0.66264;6.1789;0.66264;True
28;openCLIP('ViT-B-16', 'laion400me31');0.66558;6.15317;0.66558;True
29;vitb16;0.6661;6.0016;0.6661;True
30;openCLIP('ViT-B-16', 'laion400me32');0.66626;6.15003;0.66626;True
31;MobileNetV330;0.67668;6.75915;0.67668;False
32;openCLIP('RN50x16', 'openai');0.67728;6.07972;0.67728;True
33;MNASNet18;0.6775;6.78458;0.6775;False
34;openCLIP('ViT-B-16-plus-240', 'laion400me31');0.68536;6.11289;0.68536;True
35;openCLIP('ViT-B-16-plus-240', 'laion400me32');0.68602;6.11562;0.68602;True
36;VGG14;0.6904;6.64796;0.6904;False
37;openCLIP('ViT-B-16', 'laion2bs34bb88k');0.69312;6.07565;0.69312;True
38;Inception36;0.69522;6.66348;0.69522;False
39;ResNet12;0.6976;6.64253;0.6976;False
40;GoogLeNet21;0.69772;6.61453;0.69772;False
41;VGG15;0.6994;6.61116;0.6994;False
42;VGG24;0.7038;6.59268;0.7038;False
43;openCLIP('RN50x64', 'openai');0.7076;6.07782;0.7076;True
44;MNASNet19;0.70882;6.59727;0.70882;False
45;VGG25;0.71554;6.55068;0.71554;False
46;VGG16;0.71586;6.58;0.71586;False
47;openCLIP('ViT-L-14', 'laion400me31');0.722;6.03718;0.722;True
48;openCLIP('ViT-L-14', 'laion400me32');0.72254;6.03602;0.72254;True
49;VGG17;0.72394;6.576;0.72394;False
50;vitl14;0.72868;5.96137;0.72868;True
51;ResNet13;0.73302;6.53892;0.73302;False
52;VGG26;0.7337;6.53152;0.7337;False
53;MNASNet20;0.73468;6.53843;0.73468;False
54;vitl14336;0.74222;5.92473;0.74222;True
55;VGG10;0.74242;6.4957;0.74242;False
56;DenseNet27;0.74438;6.5373;0.74438;False
57;openCLIP('ViT-L-14', 'laion2bs32bb82k');0.74526;5.93854;0.74526;True
58;openCLIP('cocaViT-L-14', 'laion2bs13bb90k');0.75234;5.89176;0.75234;True
59;MobileNetV331;0.75314;6.48785;0.75314;False
60;DenseNet29;0.75588;6.45699;0.75588;False
61;VisionTransformer7;0.75912;6.49365;0.75912;False
62;MNASNet3;0.76076;6.44031;0.76076;False
63;ShuffleNetV29;0.76194;6.54942;0.76194;False
64;DenseNet2;0.76886;6.42575;0.76886;False
65;VisionTransformer8;0.7696;6.47105;0.7696;False
66;DenseNet28;0.77112;6.42938;0.77112;False
67;EfficientNet1;0.77672;6.37939;0.77672;False
68;ResNet0;0.80346;6.31044;0.80346;False
69;RegNet4;0.80734;6.2541;0.80734;False
70;ResNet5;0.81672;6.24573;0.81672;False
71;ConvNeXt12;0.82134;6.29169;0.82134;False
72;ResNet6;0.82346;6.21365;0.82346;False
73;ResNet11;0.82348;6.22039;0.82348;False
74;SwinTransformer5;0.83172;6.20468;0.83172;False
